Orthogroup	Gene_Count	Normalized_Gene_Count
OG0000394	10	0.909091
OG0000395	10	0.909091
OG0000396	10	0.909091
OG0000397	10	0.909091
OG0000398	9	0.818182
OG0000399	10	0.909091
OG0000400	7	0.636364
OG0000401	10	0.909091
OG0000402	10	0.909091
OG0000403	10	0.909091
OG0000404	10	0.909091
OG0000405	10	0.909091
OG0000406	10	0.909091
OG0000407	7	0.636364
OG0000408	10	0.909091
OG0000409	8	0.727273
OG0000410	10	0.909091
OG0000411	6	0.545455
OG0000412	8	0.727273
OG0000413	9	0.818182
OG0000414	10	0.909091
OG0000415	7	0.636364
OG0000416	10	0.909091
OG0000417	10	0.909091
OG0000418	10	0.909091
OG0000419	10	0.909091
OG0000420	10	0.909091
OG0000421	9	0.818182
OG0000422	10	0.909091
OG0000423	9	0.818182
OG0000424	10	0.909091
OG0000425	10	0.909091
OG0000426	10	0.909091
OG0000427	9	0.818182
OG0000428	10	0.909091
OG0000429	10	0.909091
OG0000430	6	0.545455
OG0000431	10	0.909091
OG0000432	10	0.909091
OG0000433	10	0.909091
OG0000434	8	0.727273
OG0000435	7	0.636364
OG0000436	10	0.909091
OG0000437	10	0.909091
OG0000438	10	0.909091
OG0000439	5	0.454545
OG0000440	9	0.818182
OG0000441	10	0.909091
OG0000442	10	0.909091
OG0000443	10	0.909091
OG0000444	10	0.909091
OG0000445	10	0.909091
OG0000446	6	0.545455
OG0000447	7	0.636364
OG0000448	5	0.454545
OG0000449	10	0.909091
OG0000450	9	0.818182
OG0000451	9	0.818182
OG0000452	2	0.181818
OG0000453	10	0.909091
OG0000454	10	0.909091
OG0000455	8	0.727273
OG0000456	8	0.727273
OG0000457	10	0.909091
OG0000458	10	0.909091
OG0000459	10	0.909091
OG0000460	10	0.909091
OG0000461	10	0.909091
OG0000462	10	0.909091
OG0000463	10	0.909091
OG0000464	9	0.818182
OG0000465	10	0.909091
OG0000466	10	0.909091
OG0000467	10	0.909091
OG0000468	8	0.727273
OG0000469	10	0.909091
OG0000470	10	0.909091
OG0000471	10	0.909091
OG0000472	7	0.636364
OG0000473	10	0.909091
OG0000474	10	0.909091
OG0000475	5	0.454545
