Orthogroup	Gene_Count	Normalized_Gene_Count
OG0000370	24	0.615385
OG0000371	24	0.615385
OG0000372	24	0.615385
OG0000373	24	0.615385
OG0000374	24	0.615385
OG0000375	24	0.615385
OG0000376	24	0.615385
OG0000377	24	0.615385
OG0000378	24	0.615385
OG0000379	24	0.615385
OG0000380	22	0.564103
OG0000381	24	0.615385
OG0000382	24	0.615385
OG0000383	24	0.615385
OG0000384	23	0.589744
OG0000385	12	0.307692
OG0000386	24	0.615385
OG0000387	24	0.615385
OG0000388	24	0.615385
OG0000389	24	0.615385
OG0000390	24	0.615385
OG0000391	24	0.615385
OG0000392	24	0.615385
OG0000393	24	0.615385
OG0000394	24	0.615385
OG0000395	24	0.615385
OG0000396	24	0.615385
OG0000397	24	0.615385
OG0000398	24	0.615385
OG0000399	24	0.615385
OG0000400	24	0.615385
OG0000401	23	0.589744
OG0000402	24	0.615385
OG0000403	24	0.615385
OG0000404	24	0.615385
OG0000405	24	0.615385
OG0000406	24	0.615385
OG0000407	24	0.615385
OG0000408	24	0.615385
OG0000409	24	0.615385
OG0000410	24	0.615385
OG0000411	24	0.615385
OG0000412	24	0.615385
OG0000413	23	0.589744
OG0000414	23	0.589744
OG0000415	23	0.589744
OG0000416	23	0.589744
OG0000417	23	0.589744
OG0000418	23	0.589744
OG0000419	23	0.589744
OG0000420	23	0.589744
OG0000421	23	0.589744
OG0000422	23	0.589744
OG0000423	23	0.589744
OG0000424	23	0.589744
OG0000425	23	0.589744
OG0000426	22	0.564103
OG0000427	23	0.589744
OG0000428	23	0.589744
OG0000429	23	0.589744
OG0000430	23	0.589744
OG0000431	23	0.589744
OG0000432	23	0.589744
OG0000433	23	0.589744
OG0000434	23	0.589744
OG0000435	23	0.589744
OG0000436	23	0.589744
OG0000437	23	0.589744
OG0000438	23	0.589744
OG0000439	23	0.589744
OG0000440	23	0.589744
OG0000441	23	0.589744
OG0000442	23	0.589744
OG0000443	22	0.564103
OG0000444	23	0.589744
OG0000445	23	0.589744
OG0000446	22	0.564103
OG0000447	22	0.564103
OG0000448	22	0.564103
OG0000449	22	0.564103
OG0000450	21	0.538462
OG0000451	22	0.564103
OG0000452	22	0.564103
OG0000453	22	0.564103
OG0000454	22	0.564103
OG0000455	22	0.564103
OG0000456	22	0.564103
OG0000457	22	0.564103
OG0000458	22	0.564103
OG0000459	22	0.564103
OG0000460	22	0.564103
OG0000461	22	0.564103
