Orthogroup	Gene_Count	Normalized_Gene_Count
OG0000216	6	1
OG0000217	6	1
OG0000218	6	1
OG0000219	6	1
OG0000220	6	1
OG0000221	6	1
OG0000222	6	1
OG0000223	6	1
OG0000224	6	1
OG0000225	5	0.833333
OG0000226	6	1
OG0000227	6	1
OG0000228	6	1
OG0000229	6	1
OG0000230	6	1
OG0000231	6	1
OG0000232	6	1
OG0000233	6	1
OG0000234	6	1
OG0000235	6	1
OG0000236	6	1
OG0000237	6	1
OG0000238	6	1
OG0000239	6	1
OG0000240	6	1
OG0000241	4	0.666667
OG0000242	6	1
OG0000243	6	1
OG0000244	6	1
OG0000245	6	1
OG0000246	6	1
OG0000247	6	1
OG0000248	6	1
OG0000249	6	1
OG0000250	6	1
OG0000251	6	1
OG0000252	6	1
OG0000253	6	1
OG0000254	6	1
OG0000255	6	1
OG0000256	6	1
OG0000257	6	1
OG0000258	6	1
OG0000259	6	1
OG0000260	6	1
OG0000261	6	1
OG0000262	6	1
OG0000263	6	1
OG0000264	6	1
OG0000265	6	1
OG0000266	6	1
OG0000267	6	1
OG0000268	6	1
OG0000269	6	1
OG0000270	6	1
OG0000271	6	1
OG0000272	6	1
OG0000273	6	1
OG0000274	6	1
OG0000275	6	1
OG0000276	6	1
OG0000277	6	1
OG0000278	6	1
OG0000279	6	1
OG0000280	6	1
OG0000281	6	1
OG0000282	6	1
OG0000283	6	1
OG0000284	6	1
OG0000285	6	1
OG0000286	6	1
OG0000287	6	1
OG0000288	6	1
OG0000289	6	1
OG0000290	6	1
OG0000291	6	1
OG0000292	6	1
OG0000293	6	1
OG0000294	6	1
OG0000295	6	1
OG0000296	6	1
OG0000297	6	1
OG0000298	6	1
OG0000299	6	1
OG0000300	6	1
OG0000301	6	1
OG0000302	6	1
OG0000303	6	1
OG0000304	6	1
OG0000305	6	1
OG0000306	6	1
OG0000307	6	1
OG0000308	6	1
OG0000309	6	1
OG0000310	6	1
OG0000311	6	1
OG0000312	6	1
OG0000313	6	1
OG0000314	6	1
OG0000315	4	0.666667
OG0000316	6	1
OG0000317	6	1
OG0000318	6	1
OG0000319	6	1
OG0000320	6	1
OG0000321	6	1
OG0000322	6	1
OG0000323	6	1
OG0000324	6	1
OG0000325	6	1
OG0000326	6	1
OG0000327	6	1
OG0000328	6	1
OG0000329	6	1
OG0000330	6	1
OG0000331	6	1
OG0000332	6	1
OG0000333	4	0.666667
OG0000334	6	1
OG0000335	6	1
OG0000336	6	1
OG0000337	6	1
OG0000338	6	1
OG0000339	3	0.5
OG0000340	6	1
OG0000341	6	1
OG0000342	6	1
OG0000343	6	1
OG0000344	6	1
OG0000345	6	1
OG0000346	6	1
OG0000347	6	1
OG0000348	6	1
OG0000349	6	1
OG0000350	6	1
OG0000351	6	1
OG0000352	6	1
OG0000353	6	1
OG0000354	6	1
OG0000355	6	1
OG0000356	6	1
OG0000357	5	0.833333
OG0000358	6	1
OG0000359	6	1
OG0000360	6	1
OG0000361	6	1
OG0000362	6	1
OG0000363	6	1
OG0000364	6	1
OG0000365	6	1
OG0000366	6	1
OG0000367	6	1
OG0000368	6	1
OG0000369	5	0.833333
OG0000370	5	0.833333
OG0000371	6	1
OG0000372	6	1
OG0000373	6	1
OG0000374	5	0.833333
OG0000375	6	1
OG0000376	6	1
OG0000377	6	1
OG0000378	6	1
OG0000379	6	1
OG0000380	6	1
OG0000381	5	0.833333
OG0000382	6	1
OG0000383	6	1
OG0000384	6	1
OG0000385	6	1
OG0000386	6	1
OG0000387	6	1
OG0000388	6	1
OG0000389	6	1
OG0000390	6	1
OG0000391	6	1
OG0000392	5	0.833333
OG0000393	6	1
OG0000394	6	1
OG0000395	6	1
OG0000396	6	1
OG0000397	6	1
OG0000398	6	1
OG0000399	5	0.833333
OG0000400	6	1
OG0000401	5	0.833333
OG0000402	6	1
OG0000403	6	1
OG0000404	6	1
OG0000405	6	1
OG0000406	6	1
OG0000407	6	1
OG0000408	6	1
OG0000409	5	0.833333
OG0000410	6	1
OG0000411	5	0.833333
OG0000412	6	1
OG0000413	6	1
OG0000414	5	0.833333
OG0000415	6	1
OG0000416	6	1
OG0000417	6	1
OG0000418	6	1
OG0000419	6	1
OG0000420	6	1
OG0000421	6	1
OG0000422	6	1
OG0000423	6	1
OG0000424	6	1
OG0000425	6	1
OG0000426	6	1
OG0000427	6	1
